compression_level,val_loss,recon_loss,kl_loss,semantic_loss,compression_loss,semantic_drift,model_size_kb
0.5,82021.2470703125,0.0,0.0,0.0,0.0,4.490869659965972,422.71875
1.0,207354.93103027344,0.0,0.0,0.0,0.0,6.921758842774454,422.71875
2.0,388477.6101074219,0.0,0.0,0.0,0.0,10.222510122293718,422.71875
5.0,598653.6518554688,0.0,0.0,0.0,0.0,10.851833160286676,422.71875
